s,d_s,theta_1,d_theta_1,theta_2,d_theta_2,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_theta_2,error_theta_2,desired_d_theta_2,error_d_theta_2,desired_u
-0.08630736108986455,0.0,-0.4871425541418175,0.0,-0.8306099587692922,0.0,0.0,0.0,-0.03152472931116884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.9122381999986828,2.544491085467493e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.970253226450915,565.7321145722244,0.0,1.0117409999984375,-2.588322084912657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,618.8078498330677,9.059690533252597,617.8874613603364,0.0,1.0131405999964045,-23.706749877790653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.059690533252597,0.0,0.0,1.0145730999975058,-0.003091704704441835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.059690533252597,0.0,0.0,1.018604699995194,-0.003091704704441835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.30679615757698286,0.0,1.023513299995102,-0.0031128387671147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.0,0.0,1.028361999993649,-0.003095155595859291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.0,0.0,1.0328070999967167,-0.003095155595859291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.0,0.0,1.0377280999964569,-0.003095155595859291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.0,0.0,1.042585399998643,-0.003095155595859291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.0,0.0,1.0474753999988025,-0.003095155595859291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.0,0.0,1.0523821999995562,-0.003095155595859291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0940392491653386,0.0,9.061224514040482,0.0,0.0,1.0571540999990248,-0.003095155595859291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
