s,d_s,theta_1,d_theta_1,theta_2,d_theta_2,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_theta_2,error_theta_2,desired_d_theta_2,error_d_theta_2,desired_u
-0.21150373873147849,0.0,-0.6924602979490984,0.0,0.7686087364780685,0.0,0.0,0.0,-0.021798508605361627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,3.141592653589793,,0.0,0.9072117999894544,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,-20.852415109969634,3.155398480680764,-19.739221504827544,0.0,0.9613862000405788,0.011389486434876538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.155398480680764,0.0,0.0,0.9628064000280574,0.001527328070051466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.155398480680764,0.0,0.0,0.9645067000528798,0.001527328070051466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.155398480680764,0.0,0.0,0.9677867001155391,0.001527328070051466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.155398480680764,1.6215441732408058,0.0,0.9725122001254931,0.001537696436591893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1507965383171075,-2.4297478160805275,0.0,0.9773988001979887,0.0015890463752410398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1492625575292217,0.0,0.0,0.9821801001671702,0.0015402923259969152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.155398480680764,-0.8181230868724281,0.0,0.9870176002150401,0.001535633322483354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1507965383171075,-2.4543692606168106,0.0,0.9918255002703518,0.0015899908932741223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1492625575292217,-2.4504485429480933,0.0,0.996728400234133,0.001593334031437211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1523305191049924,1.636246173744382,0.0,1.0015630001435056,0.0015446772411147423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.153864499892878,0.4330832263935072,0.0,1.006443100166507,0.00152986205676769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.153864499892878,-0.8103437865218186,0.0,1.0113650001585484,0.0015387870882037703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.120116922559394,0.0,3.1507965383171066,0.0,0.0,1.0160994002362713,0.0014333763606368046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1523305191049924,0.0,0.0,1.0212203002301976,0.0015338184452161404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1523305191049924,-0.8189966833346516,0.0,1.0257563003106043,0.0015421951504326896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1185829417715083,0.0,3.1523305191049924,0.0,0.0,1.030755900312215,0.0015338184452161404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
