s,d_s,theta_1,d_theta_1,theta_2,d_theta_2,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_theta_2,error_theta_2,desired_d_theta_2,error_d_theta_2,desired_u
-0.07992049675447653,0.0,0.020000808241883623,0.0,-0.7165344118398729,0.0,0.0,0.0,0.002847918839988037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.9684533999970881,4.1748616478895348e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,-623.4097921967245,3.1630683846201917,4.295146206079835,0.0,1.1514662999979919,18.417918202399015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,0.0,3.1630683846201917,0.0,0.0,1.1545990999984497,0.0024717444913088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,0.0,3.1630683846201917,0.0,0.0,1.1569378999993205,0.0024717444913088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,0.0,3.1630683846201917,0.0,0.0,1.161170299998048,0.0024717444913088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,0.0,3.1630683846201917,0.0,0.0,1.1719627999991644,0.0024717444913088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,0.0,3.1630683846201917,0.0,0.0,1.1745058000014978,0.0024717444913088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,0.0,3.1630683846201917,0.0,0.0,1.1765495000036026,0.0024717444913088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.117048960983623,0.0,3.1630683846201917,0.0,0.0,1.1799725000018952,0.0024717444913088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
